Genrated by programs, do not modify.
NAME,SCORES
0,275
1,389
2,525
3,92
4,407
5,610
6,291
7,376
8,964
9,721
10,430
11,792
12,20
13,978
14,971
15,456
16,16
17,775
18,590
19,332
20,15
21,133
22,437
23,528
24,761
25,843
26,679
27,641
28,123
29,91
30,396
31,52
32,851
33,191
34,711
35,965
36,686
37,669
38,401
39,882
40,224
41,157
42,176
43,513
44,324
45,947
46,88
47,511
48,325
49,57
50,976
51,899
52,468
53,670
54,256
55,11
56,795
57,396
58,146
59,981
60,986
61,63
62,999
63,768
64,495
65,810
66,123
67,724
68,907
69,262
70,668
71,247
72,243
73,165
74,358
75,2
76,780
77,716
78,803
79,219
80,867
81,152
82,241
83,885
84,747
85,882
86,220
87,789
88,600
89,653
90,134
91,629
92,92
93,351
94,364
95,670
96,488
97,455
98,795
99,161
100,654
101,598
102,818
103,248
104,652
105,113
106,298
107,259
108,580
109,134
110,924
111,45
112,977
113,548
114,185
115,688
116,612
117,216
118,712
119,901
120,872
121,342
122,579
123,577
124,499
125,356
126,107
127,637
128,686
129,125
130,454
131,53
132,327
133,61
134,125
135,27
136,517
137,160
138,475
139,500
140,803
141,224
142,107
143,51
144,729
145,991
146,1
147,157
148,943
149,993
150,892
151,525
152,115
153,285
154,42
155,497
156,773
157,958
158,389
159,149
160,377
161,309
162,756
163,86
164,749
165,978
166,941
167,257
168,940
169,955
170,66
171,925
172,346
173,651
174,249
175,831
176,393
177,246
178,40
179,124
180,203
181,708
182,1
183,132
184,265
185,261
186,546
187,813
188,675
189,140
190,912
191,214
192,353
193,287
194,54
195,701
196,330
197,478
198,624
199,747
200,994
201,705
202,173
203,110
204,761
205,487
206,629
207,111
208,282
209,876
210,351
211,870
212,513
213,730
214,821
215,330
216,761
217,372
218,276
219,629
220,781
221,527
222,231
223,744
224,677
225,130
226,859
227,19
228,364
229,936
230,384
231,831
232,23
233,643
234,62
235,456
236,952
237,211
238,767
239,453
240,444
241,927
242,212
243,353
244,809
245,371
246,451
247,23
248,85
249,211
250,110
251,266
252,323
253,918
254,367
255,947
256,383
257,935
258,611
259,142
260,732
261,832
262,437
263,751
264,803
265,256
266,229
267,969
268,943
269,407
270,32
271,479
272,895
273,239
274,225
275,823
276,219
277,46
278,528
279,947
280,147
281,161
282,90
283,258
284,884
285,986
286,498
287,631
288,237
289,517
290,447
291,624
292,737
293,520
294,845
295,42
296,685
297,289
298,25
299,946
300,877
301,836
302,567
303,415
304,922
305,445
306,525
307,903
308,919
309,579
310,6
311,207
312,364
313,630
314,184
315,590
316,170
317,347
318,271
319,668
320,280
321,21
322,430
323,232
324,733
325,526
326,218
327,839
328,455
329,46
330,802
331,596
332,787
333,666
334,596
335,316
336,782
337,433
338,873
339,736
340,740
341,971
342,148
343,969
344,191
345,284
346,591
347,999
348,235
349,952
350,182
351,298
352,751
353,846
354,784
355,181
356,494
357,322
358,708
359,344
360,631
361,854
362,304
363,877
364,521
365,473
366,119
367,837
368,3
369,114
370,724
371,148
372,868
373,558
374,994
375,2
376,518
377,577
378,367
379,131
380,256
381,697
382,272
383,826
384,164
385,185
386,662
387,441
388,381
389,181
390,777
391,356
392,774
393,761
394,436
395,663
396,815
397,935
398,449
399,932
400,313
401,657
402,694
403,178
404,837
405,387
406,433
407,370
408,503
409,221
410,32
411,620
412,65
413,352
414,660
415,386
416,765
417,950
418,447
419,891
420,642
421,855
422,435
423,275
424,412
425,912
426,333
427,576
428,61
429,679
430,746
431,688
432,480
433,789
434,864
435,82
436,608
437,147
438,360
439,274
440,44
441,489
442,802
443,545
444,77
445,626
446,475
447,252
448,539
449,380
450,379
451,395
452,109
453,967
454,769
455,565
456,40
457,939
458,291
459,922
460,466
461,431
462,408
463,489
464,704
465,727
466,705
467,332
468,188
469,630
470,751
471,744
472,771
473,372
474,54
475,969
476,294
477,802
478,923
479,454
480,742
481,972
482,930
483,265
484,38
485,13
486,644
487,290
488,428
489,961
490,998
491,756
492,896
493,863
494,917
495,319
496,992
497,479
498,385
499,616
500,243
501,803
502,663
503,342
504,588
505,423
506,860
507,638
508,674
509,637
510,526
511,162
-33686019,0
